,screen_name,text,source,retweet_count,hashtags,mentions_screen_name,searchTerm,disease,Preprocesstext,Sentiment,ADRE,Symptoms,SideEffects,Unspecified_ADR
11,Winsome_Wench,@Cimbrella Itâ€™s not pleasant. I was having sweats. Iâ€™m on levothyroxine for life now. Itâ€™s sorted it out nicely xx,Twitter for iPhone,0,,Cimbrella,Levothyroxine,Cancer,it not pleasant was having sweats on levothyroxine for life now it sorted it out nicely xx,negative,['sweat'],"[('was having sweat', 'sweat s on')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding",['sweat']
12,SuomalainenSK,RT @HoltorfMed: What #thyroid #medication works best for you? Find out why #levothyroxine doesn't work for most people: https://t.co/aOvCO5â€¦,Twitter for Android,10,thyroid medication levothyroxine,HoltorfMed,Levothyroxine,Cancer,what thyroid medication works best for you find out why levothyroxine doesn work for most people,negative,['thyroid'],"[('wha t thyroid', 'thyroid medication works')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding",['thyroid']
13,dbwresearch,"The question might be extended to 'mood changing' drugs, whether legal medications or illegal, even if it is only one contingent effect. Levothyroxine for instance raises mood, speeds metabolism. Correlates need be checked.",Twitter Web Client,0,,,Levothyroxine,Cancer,the question might be extended to mood changing drugs whether legal medications or illegal even if it is only one contingent effect levothyroxine for instance raises mood speeds metabolism correlates need be checked,negative,"['mood', 'mood']","[('extended to mood', 'mood changing drugs'), ('extended to mood', 'mood changing drugs')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding","['mood', 'mood']"
14,Princeaurora200,"Dear pfiser, Thyroxine.fatalities occur,  Ny puberty. Growth hormone deficiency. for 2003. Levothyroxine. Why don't writer in idiot. Power.",Mobile Web (M2),0,,,Levothyroxine,Cancer,dear pfiser thyroxine fatalities occur ny puberty growth hormone deficiency for levothyroxine why don writer in idiot power,negative,"['fatal', 'defici']","[('pfiser thyroxine fatal', 'fatal ities occur'), ('growth hormone defici', 'defici ency for')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding","['fatal', 'defici']"
15,Princeaurora200,"Dear pfiser, Thyroxine. Ny puberty. Growth hormone deficiency. for 2003. Levothyroxine. Why don't writer in idiot. Power.",Mobile Web (M2),0,,,Levothyroxine,Cancer,dear pfiser thyroxine ny puberty growth hormone deficiency for levothyroxine why don writer in idiot power,negative,['defici'],"[('growth hormone defici', 'defici ency for')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding",['defici']
16,Catheri79513784,"@TerezHumphrey Yes Actemra was great but stopped working - Enbrel, Humira,Orencia nothing - Xeljanz worked but horrible side effects. Rituxan had infusion reaction (throat closing).",Twitter for Android,0,,TerezHumphrey,Rituxan,Cancer,yes actemra was great but stopped working enbrel humira orencia nothing xeljanz worked but horrible side effects rituxan had infusion reaction throat closing,negative,"['reaction', 'throat']","[('had infusion reaction', 'reaction throat closing'), ('infusion reaction throat', 'throat closin g')]","nightmares,aches,sleepdisorder,zoloft,no energy,pain in neck,nausea,sloth,over think,knee ache,hairloss,muscle spasms,nauesousness,zombified,weak knees,eating,passing out,asleep 24/7,rls,constipation,quality","['reaction', 'throat']"
17,MsTyKne,"Okay the Benadryl is kicking, Iâ€™m starting to feel high door 2 of #rituxan  #treatingmydisease #PraisingGod #givingthanks #lovingmylifedespitethe obstacle  sometimes you have to sit back and be still https://t.co/gbSxg3UvQk",Twitter for iPhone,0,rituxan treatingmydisease PraisingGod givingthanks lovingmylifedespitethe,,Rituxan,Cancer,okay the benadryl is kicking starting to feel high door of rituxan treatingmydisease praisinggod givingthanks lovingmylifedespitethe obstacle sometimes you have to sit back and be still,negative,"['high', 'back']","[('to feel high', 'high door of'), ('to sit back', 'back and be')]","nightmares,aches,sleepdisorder,zoloft,no energy,pain in neck,nausea,sloth,over think,knee ache,hairloss,muscle spasms,nauesousness,zombified,weak knees,eating,passing out,asleep 24/7,rls,constipation,quality","['high', 'back']"
18,MsTyKne,"Okay the Benadryl is kicking, Iâ€™m starting to feel high door 2 of #rituxan  #treatingmydiseaseâ€¦ https://t.co/bLiQkJJfjp",Instagram,0,rituxan treatingmydisease,,Rituxan,Cancer,okay the benadryl is kicking starting to feel high door of rituxan treatingmydisease,negative,['high'],"[('to feel high', 'high door of')]","nightmares,aches,sleepdisorder,zoloft,no energy,pain in neck,nausea,sloth,over think,knee ache,hairloss,muscle spasms,nauesousness,zombified,weak knees,eating,passing out,asleep 24/7,rls,constipation,quality",['high']
19,flemmster,My view for 2nd round of Rituxan. Hospital bc of reactions. Itâ€™ll b a long day but fingers crossed no reactions #chronicillness #SpoonieProblems #rheumatoidarthritis #sjogrens https://t.co/qBraSOTpHa,Twitter for iPhone,0,chronicillness SpoonieProblems rheumatoidarthritis sjogrens,,Rituxan,Cancer,my view for nd round of rituxan hospital bc of reactions it ll long day but fingers crossed no reactions chronicillness spoonieproblems rheumatoidarthritis sjogrens,negative,"['reaction', 'reaction', 'rheumatoidarthr']","[('bc of reaction', 'reaction s it'), ('bc of reaction', 'reaction s it'), ('chronicillness spoonieproblems rheumatoidarthr', 'rheumatoidarthr itis sjogrens')]","nightmares,aches,sleepdisorder,zoloft,no energy,pain in neck,nausea,sloth,over think,knee ache,hairloss,muscle spasms,nauesousness,zombified,weak knees,eating,passing out,asleep 24/7,rls,constipation,quality","['reaction', 'reaction', 'rheumatoidarthr']"
20,yellowlablover,@TiffanyAndLupus Thanks but I have been on the same dose for over 3 years with the occasional bump up from flares while in hospital. I am@going to assume itâ€™s rituxan and it will eventually subside but its UGHHHHHH,Twitter for iPhone,0,,TiffanyAndLupus,Rituxan,Cancer,thanks but have been on the same dose for over years with the occasional bump up from flares while in hospital am going to assume it rituxan and it will eventually subside but its ughhhhhh,negative,"['up', 'flare']","[('occasional bump up', 'up from flares'), ('up from flare', 'flare s while')]","nightmares,aches,sleepdisorder,zoloft,no energy,pain in neck,nausea,sloth,over think,knee ache,hairloss,muscle spasms,nauesousness,zombified,weak knees,eating,passing out,asleep 24/7,rls,constipation,quality","['up', 'flare']"
21,JouleCharney,"Update regarding my blood disorder, Cold Autoimmune Hemolytic Anemia aka Cold Agglutinin Disease.....

My new hematalogist has ordered four infusions of Rituxan. I should know soon when they will commence.

My... https://t.co/zZJJr2sGAn",Facebook,0,,,Rituxan,Cancer,update regarding my blood disorder cold autoimmune hemolytic anemia aka cold agglutinin disease my new hematalogist has ordered four infusions of rituxan should know soon when they will commence my,negative,"['blood', 'cold', 'anemia', 'cold']","[('regarding my blood', 'blood disorder cold'), ('blood disorder cold', 'cold autoimmune hemolytic'), ('autoimmune hemolytic anemia', 'anemia aka cold'), ('blood disorder cold', 'cold autoimmune hemolytic')]","nightmares,aches,sleepdisorder,zoloft,no energy,pain in neck,nausea,sloth,over think,knee ache,hairloss,muscle spasms,nauesousness,zombified,weak knees,eating,passing out,asleep 24/7,rls,constipation,quality","['blood', 'cold', 'anemia', 'cold']"
22,Dr_RaLupusCFS,"This Rituxan infusion has been the hardest on me - severe pain, severe fatigue, super low BP,â€¦ https://t.co/WgnHyMuo7z",Instagram,0,,,Rituxan,Cancer,this rituxan infusion has been the hardest on me severe pain severe fatigue super low bp,negative,"['sever', 'pain', 'sever', 'fatigu', 'low']","[('on me sever', 'sever e pain'), ('me severe pain', 'pain severe fatigue'), ('on me sever', 'sever e pain'), ('pain severe fatigu', 'fatigu e super'), ('fatigue super low', 'low b p')]","nightmares,aches,sleepdisorder,zoloft,no energy,pain in neck,nausea,sloth,over think,knee ache,hairloss,muscle spasms,nauesousness,zombified,weak knees,eating,passing out,asleep 24/7,rls,constipation,quality","['sever', 'sever', 'fatigu', 'low']"
23,Catheri79513784,@kmitchellauthor <f0><U+009F><U+0091><U+008D> I had a infusion reaction to Rituxan. But a lot of people say its wonderful.,Twitter for Android,0,,kmitchellauthor,Rituxan,Cancer,had infusion reaction to rituxan but lot of people say its wonderful,negative,['reaction'],"[('had infusion reaction', 'reaction to rituxan')]","nightmares,aches,sleepdisorder,zoloft,no energy,pain in neck,nausea,sloth,over think,knee ache,hairloss,muscle spasms,nauesousness,zombified,weak knees,eating,passing out,asleep 24/7,rls,constipation,quality",['reaction']
24,Legendary_Ice,"RT @nurse_hangry: ~50 yo 400 lb pt from home on IV lasix, refusing foley. routinely pisses entire bed to point of dripping on the floor, ev…",Twitter for Android,7,,nurse_hangry,Lasix,High_Bp,yo lb pt from home on iv lasix refusing foley routinely pisses entire bed to point of dripping on the floor ev,negative,['drip'],"[('point of drip', 'drip ping on')]","nausea,diarrhea,constipation,stomach cramping,spins,dizziness,headache,blurred vision,itching,itch,rashes,eye twitches,heart arrhythmia,productive,nauseous,nasal spray,irrational,attention-killing,grumpy,sedated,stuffy sinuses,impotency,kidney stones,never have another orgasm,daydream,rollercoastery,seizures,bruises,gorked,crabby,tingling,reaction,prozac,insomniac",['drip']
25,As3ideas,Nuevo Artículo AS3: Brand And Generic Products For Sale * how long does it take for iv… https://t.co/UgIma2J5nW,Google,0,,,Lasix,High_Bp,nuevo art culo as brand and generic products for sale how long does it take for iv,negative,['product'],"[('and generic product', 'product s for')]","nausea,diarrhea,constipation,stomach cramping,spins,dizziness,headache,blurred vision,itching,itch,rashes,eye twitches,heart arrhythmia,productive,nauseous,nasal spray,irrational,attention-killing,grumpy,sedated,stuffy sinuses,impotency,kidney stones,never have another orgasm,daydream,rollercoastery,seizures,bruises,gorked,crabby,tingling,reaction,prozac,insomniac",[]
26,mbauerherzog,"@Epsom1780 @tanyagun @CBAKy I agree with it being frustrating everyone gets it but with how much success US horses have had abroad (2 of the last 3 European champ 2yo colts, &amp; the champ filly in 2016) Lasix obviously isn't hurting US horses vs. rest o",Twitter Web Client,0,,Epsom1780 tanyagun CBAKy,Lasix,High_Bp,agree with it being frustrating everyone gets it but with how much success us horses have had abroad of the last european champ yo colts amp the champ filly in lasix obviously isn hurting us horses vs rest,negative,['hurt'],"[('obviously isn hurt', 'hurt ing us')]","nausea,diarrhea,constipation,stomach cramping,spins,dizziness,headache,blurred vision,itching,itch,rashes,eye twitches,heart arrhythmia,productive,nauseous,nasal spray,irrational,attention-killing,grumpy,sedated,stuffy sinuses,impotency,kidney stones,never have another orgasm,daydream,rollercoastery,seizures,bruises,gorked,crabby,tingling,reaction,prozac,insomniac",['hurt']
27,daniii_16_,I’m tired of wearing contacts and glasses like I want to get Lasix but I’m just scared <f0><U+009F><U+0098><U+00AD>,Twitter for iPhone,0,,,Lasix,High_Bp,tired of wearing contacts and glasses like want to get lasix but just scared ad,negative,"['tire', 'scare']","[None, ('but just scare', 'scare d ad')]","nausea,diarrhea,constipation,stomach cramping,spins,dizziness,headache,blurred vision,itching,itch,rashes,eye twitches,heart arrhythmia,productive,nauseous,nasal spray,irrational,attention-killing,grumpy,sedated,stuffy sinuses,impotency,kidney stones,never have another orgasm,daydream,rollercoastery,seizures,bruises,gorked,crabby,tingling,reaction,prozac,insomniac","['tire', 'scare']"
28,LooochRacing,@ihmeyers @augustus_neil He gets about 1/3 if normal dose that Horses get so he’s still ahead of the game with the lasix You have to know this horse to want to run him back. He will make amends,Twitter for iPhone,0,,ihmeyers augustus_neil,Lasix,High_Bp,he gets about if normal dose that horses get so he still ahead of the game with the lasix you have to know this horse to want to run him back he will make amends,negative,['back'],"[('run him back', 'back he will')]","nausea,diarrhea,constipation,stomach cramping,spins,dizziness,headache,blurred vision,itching,itch,rashes,eye twitches,heart arrhythmia,productive,nauseous,nasal spray,irrational,attention-killing,grumpy,sedated,stuffy sinuses,impotency,kidney stones,never have another orgasm,daydream,rollercoastery,seizures,bruises,gorked,crabby,tingling,reaction,prozac,insomniac",['back']
29,mlkurzenknabe,This Lasix pill is the worst thing that’s ever happened to me; i have to pee every 30 goddamn seconds <f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1>,Twitter for iPhone,0,,,Lasix,High_Bp,this lasix pill is the worst thing that ever happened to me have to pee every goddamn seconds,negative,['pee'],"[('have to pee', 'pee every goddamn')]","nausea,diarrhea,constipation,stomach cramping,spins,dizziness,headache,blurred vision,itching,itch,rashes,eye twitches,heart arrhythmia,productive,nauseous,nasal spray,irrational,attention-killing,grumpy,sedated,stuffy sinuses,impotency,kidney stones,never have another orgasm,daydream,rollercoastery,seizures,bruises,gorked,crabby,tingling,reaction,prozac,insomniac",['pee']
30,mbauerherzog,RT @LooochRacing: @mbauerherzog He gets the min lasix - I agree if he were a bleeder could never be done this horse was angry after getting…,Twitter Web Client,1,,LooochRacing mbauerherzog,Lasix,High_Bp,he gets the min lasix agree if he were bleeder could never be done this horse was angry after getting,negative,['angri'],[None],"nausea,diarrhea,constipation,stomach cramping,spins,dizziness,headache,blurred vision,itching,itch,rashes,eye twitches,heart arrhythmia,productive,nauseous,nasal spray,irrational,attention-killing,grumpy,sedated,stuffy sinuses,impotency,kidney stones,never have another orgasm,daydream,rollercoastery,seizures,bruises,gorked,crabby,tingling,reaction,prozac,insomniac",['angri']
31,LooochRacing,@mbauerherzog He gets the min lasix - I agree if he were a bleeder could never be done this horse was angry after getting side swiped He’s ready,Twitter for iPhone,1,,mbauerherzog,Lasix,High_Bp,he gets the min lasix agree if he were bleeder could never be done this horse was angry after getting side swiped he ready,negative,['angri'],[None],"nausea,diarrhea,constipation,stomach cramping,spins,dizziness,headache,blurred vision,itching,itch,rashes,eye twitches,heart arrhythmia,productive,nauseous,nasal spray,irrational,attention-killing,grumpy,sedated,stuffy sinuses,impotency,kidney stones,never have another orgasm,daydream,rollercoastery,seizures,bruises,gorked,crabby,tingling,reaction,prozac,insomniac",['angri']
32,mbauerherzog,"While it's not normal in the US, there are horses running off a week break this weekend in Australia as well. Granted, the quick turn around on Lasix is a concern but running two weeks in a row isn't that crazy in the worldwide picture. https://t.co/GJiUTEeT1o",Twitter Web Client,0,,,Lasix,High_Bp,while it not normal in the us there are horses running off week break this weekend in australia as well granted the quick turn around on lasix is concern but running two weeks in row isn that crazy in the worldwide picture,negative,['crazi'],[None],"nausea,diarrhea,constipation,stomach cramping,spins,dizziness,headache,blurred vision,itching,itch,rashes,eye twitches,heart arrhythmia,productive,nauseous,nasal spray,irrational,attention-killing,grumpy,sedated,stuffy sinuses,impotency,kidney stones,never have another orgasm,daydream,rollercoastery,seizures,bruises,gorked,crabby,tingling,reaction,prozac,insomniac",['crazi']
33,reannalane,"Work me vs. home me



Work me: Septic shock pt with resp in the 30's on cont abx. Fib RVR 150-180 on verapamil gtt BP tanking 70/50. HF pt on primacor gtt and lasix gtt. Active chest painer titrating nitro. No problem!



Home me: Leaves work laundry in dryer for 4 days



#nurselife",Twitter for Android,0,nurselife,,Lasix,High_Bp,work me vs home me work me septic shock pt with resp in the on cont abx fib rvr on verapamil gtt bp tanking hf pt on primacor gtt and lasix gtt active chest painer titrating nitro no problem home me leaves work laundry in dryer for days nurselife,negative,['chest'],"[('gtt active chest', 'chest painer titrating')]","nausea,diarrhea,constipation,stomach cramping,spins,dizziness,headache,blurred vision,itching,itch,rashes,eye twitches,heart arrhythmia,productive,nauseous,nasal spray,irrational,attention-killing,grumpy,sedated,stuffy sinuses,impotency,kidney stones,never have another orgasm,daydream,rollercoastery,seizures,bruises,gorked,crabby,tingling,reaction,prozac,insomniac",['chest']
34,ywolfe,Hypercalcemia treatment includes hydration. HOLD the lasix! Slow rate IV biphosphonate #EMConf @EinsteinEMed @JasonBe13982798,Twitter for iPhone,0,EMConf,EinsteinEMed JasonBe13982798,Lasix,High_Bp,hypercalcemia treatment includes hydration hold the lasix slow rate iv biphosphonate emconf,negative,['slow'],"[('the lasix slow', 'slow rate iv')]","nausea,diarrhea,constipation,stomach cramping,spins,dizziness,headache,blurred vision,itching,itch,rashes,eye twitches,heart arrhythmia,productive,nauseous,nasal spray,irrational,attention-killing,grumpy,sedated,stuffy sinuses,impotency,kidney stones,never have another orgasm,daydream,rollercoastery,seizures,bruises,gorked,crabby,tingling,reaction,prozac,insomniac",['slow']
