screen_name,text,source,retweet_count,hashtags,mentions_screen_name,searchTerm,disease,Preprocesstext,Sentiment
Amit291092,Oral iron salts reduce absorption of other drugs - such as bisphosphonates an #levothyroxine Oral iron salts reduce absorption of other drugs - such as bisphosphonates and levothyroxine Oral iron salts duce absorption of other drugs - such as bisphosphonates and ... .. ... .. ...,Twitter Web Client,0,levothyroxine,,Levothyroxine,Cancer,oral iron salts reduce absorption of other drugs such as bisphosphonates an levothyroxine oral iron salts reduce absorption of other drugs such as bisphosphonates and levothyroxine oral iron salts duce absorption of other drugs such as bisphosphonates and,negative
Clutter2,@MightyDredd @Azeem_Majeed I'm supplied 56 days Levothyroxine and 42 days Liothyronine for hypothyroidism. Doesn't make sense to me.,Twitter Web Client,0,,MightyDredd Azeem_Majeed,Levothyroxine,Cancer,supplied days levothyroxine and days liothyronine for hypothyroidism doesn make sense to me,neutral
earaches,"Soooo I should have been taking the levothyroxine for my thyroid like, 2 weeks ago, and even though Sofiane told me she'd called he failed to tell me that... Thanks mate!!!!!!!",Twitter for Android,0,,,Levothyroxine,Cancer,soooo should have been taking the levothyroxine for my thyroid like weeks ago and even though sofiane told me she called he failed to tell me that thanks mate,neutral
KhadyMany,RT @MothLyssa: @EveEnreve @KhadyMany @agnesbuzyn #Levothyrox crisis in France: one year after Merck's disastrous launch of a new formula ofâ€¦,Twitter Web Client,6,Levothyrox,MothLyssa EveEnreve KhadyMany agnesbuzyn,Levothyroxine,Cancer,levothyrox crisis in france one year after merck disastrous launch of new formula of,neutral
MINXY_ROCHELLE,@TaylorHelga Ive always been prescribed levothyroxine for underactive thyroid.  I still struggle with my weight. And always tired <f0><U+009F><U+0098><U+00A2> xx,Twitter for Android,0,,TaylorHelga,Levothyroxine,Cancer,ive always been prescribed levothyroxine for underactive thyroid still struggle with my weight and always tired xx,negative
medschat,Taking Levothyroxine Every Other Day https://t.co/6lzbTI0xVb,MedsChat.com,0,,,Levothyroxine,Cancer,taking levothyroxine every other day,neutral
scchapterofacp,Levothyroxine therapy may increase risk for death in older adults https://t.co/iW4kV4O6xB,Twitter Web Client,0,,,Levothyroxine,Cancer,levothyroxine therapy may increase risk for death in older adults,negative
ProfVeterinario,"Safety of orally administered, USP-compliant #levothyroxine sodium tablets in #dogs | #ECM https://t.co/vBYRXPjSIb",PostPickr,0,levothyroxine dogs ECM,,Levothyroxine,Cancer,safety of orally administered usp compliant levothyroxine sodium tablets in dogs ecm,neutral
chilitechris,"Following my recent blood test, got an email from my GP saying I would benefit from a slightly higher daily dose of levothyroxine. Thought the tablets were too small, they are like pinheads!",Twitter Web Client,0,,,Levothyroxine,Cancer,following my recent blood test got an email from my gp saying would benefit from slightly higher daily dose of levothyroxine thought the tablets were too small they are like pinheads,positive
EbThen,"@DreddByDawn Hey, synthroid buddy! (Well, levothyroxine, I've got the generic, but.)",Twitter Web Client,0,,DreddByDawn,Levothyroxine,Cancer,hey synthroid buddy well levothyroxine ve got the generic but,neutral
mikerogers00001,"@VadaCallisto I knew there was a reason I love you, Levothyroxine, bitches! 75MCG!",Twitter Web Client,1,,VadaCallisto,Levothyroxine,Cancer,knew there was reason love you levothyroxine bitches mcg,positive
LordPhilofBrum,RT @julesserkin: @elainesmithmsp @pamela0106 @LordPhilofBrum @LabourLordsUK @UKHouseofLords Having T3 (after 20 long years feeling awful onâ€¦,Twitter for iPhone,1,,julesserkin elainesmithmsp pamela0106 LordPhilofBrum LabourLordsUK UKHouseofLords,Levothyroxine,Cancer,having after long years feeling awful on,negative
sarahoelker,"The implicit ""OMG you're addicted"" message here cheeses me off because hey, assholes: drug addiction is ALSO a medical condition, and my body is also dependent upon levothyroxine, albeit in different bodily systems, so shut the hell up. https://t.co/7aJyYW2eIE",TweetDeck,0,,,Levothyroxine,Cancer,the implicit omg you re addicted message here cheeses me off because hey assholes drug addiction is also medical condition and my body is also dependent upon levothyroxine albeit in different bodily systems so shut the hell up,negative
HypothyroidInfo,#Hypothyroidism can be well treated with manufactured levothyroxine; the dose is adjusted according to symptoms and #thyroxine/#tshlevels.,ForexTricks,0,Hypothyroidism thyroxine tshlevels,,Levothyroxine,Cancer,hypothyroidism can be well treated with manufactured levothyroxine the dose is adjusted according to symptoms and thyroxine tshlevels,positive
AleFer_endo,No Benefit of Levothyroxine Among Pregnant Hypothyroid and/or Hypothyroxinemic Women on Offspring IQ at Age 9 years (Clinical Thyroidology) https://t.co/BMJgvVb1m6,Hootsuite,0,,,Levothyroxine,Cancer,no benefit of levothyroxine among pregnant hypothyroid and or hypothyroxinemic women on offspring iq at age years clinical thyroidology,positive
bringinsexybach,"@C_GraceT I also couldn't stop taking my levothyroxine without experiencing ill effects, when's the NYT going to start wringing their hands about our society's regrettable dependence on synthetic thyroid hormone, huh?",Twitter Web Client,0,,C_GraceT,Levothyroxine,Cancer,also couldn stop taking my levothyroxine without experiencing ill effects when the nyt going to start wringing their hands about our society regrettable dependence on synthetic thyroid hormone huh,negative
coreopsismajor,@drmoonpants that's pretty amazing. Is it adrenaline about the move or about leaving the job or levothyroxine finally doing more or some combination?,Talon Android,0,,drmoonpants,Levothyroxine,Cancer,that pretty amazing is it adrenaline about the move or about leaving the job or levothyroxine finally doing more or some combination,positive
priellan,would you get call someone with hypothyroidism dependent on their levothyroxine because they have to take it every day to regulate their thyroid and not suffer the mental and physical symptoms?,TweetDeck,0,,,Levothyroxine,Cancer,would you get call someone with hypothyroidism dependent on their levothyroxine because they have to take it every day to regulate their thyroid and not suffer the mental and physical symptoms,negative
KEBrightbill,"Hey NYT, Maybe next you could write a concern trolling piece about how concerning it is that I've got a long-term prescription for levothyroxine or about refilling my albuterol prescription every year for the last two decades. https://t.co/67RmVcwxfI",Twitter for Android,0,,,Levothyroxine,Cancer,hey nyt maybe next you could write concern trolling piece about how concerning it is that ve got long term prescription for levothyroxine or about refilling my albuterol prescription every year for the last two decades,neutral
footyDoc,"Well, thatâ€™s a stiff dose of levothyroxine. <f0><U+009F><U+00A4><U+00AD>
#TeamNightShift https://t.co/10BfBJ60dI",Twitter for iPhone,0,TeamNightShift,,Levothyroxine,Cancer,well that stiff dose of levothyroxine ad teamnightshift,negative
stirling_chem,"@chemDrK When I was a pharmacist, many drug names changed overnight. Bendrofluazide became bendroflumethiazide, thyroxine became levothyroxine etc etc. Very confusing for all concerned.",Twitter for Android,0,,chemDrK,Levothyroxine,Cancer,when was pharmacist many drug names changed overnight bendrofluazide became bendroflumethiazide thyroxine became levothyroxine etc etc very confusing for all concerned,neutral
handmade_dorset,"And there I was home again <f0><U+009F><U+0098><U+008A> What an adventure <U+2B50>
#thyroidcancer #thyroid #hashimotos #livingwell #gratitude #handmadedorset #grateful #lifegoals #mystory #wellbeing #adventure #levothyroxine #thyroidectomy #Dorsetteam https://t.co/d8n9GedlPU",Twitter for Android,1,thyroidcancer thyroid hashimotos livingwell gratitude handmadedorset grateful lifegoals mystory wellbeing adventure levothyroxine thyroidectomy Dorsetteam,,Levothyroxine,Cancer,and there was home again what an adventure thyroidcancer thyroid hashimotos livingwell gratitude handmadedorset grateful lifegoals mystory wellbeing adventure levothyroxine thyroidectomy dorsetteam,positive
ridhaarem,"Treating some elderly people with #levothyroxine may put them at increased risk of death, says new research. #SubclinicalHpothyroidism https://t.co/U5LjPB5DFv via @TheEndoSociety",Hootsuite,0,levothyroxine SubclinicalHpothyroidism,TheEndoSociety,Levothyroxine,Cancer,treating some elderly people with levothyroxine may put them at increased risk of death says new research subclinicalhpothyroidism via,negative
KijonaiaArt,"@kittykaya Nonono, he's sometimes up UNTIL 2-3am. I actually just thought of that it might be insomnia in relation to his levothyroxine. His doc changed his dosage a few months back and said the levels all looked great at the one-month blood test, but I'm",Twitter Web Client,0,,kittykaya,Levothyroxine,Cancer,nonono he sometimes up until am actually just thought of that it might be insomnia in relation to his levothyroxine his doc changed his dosage few months back and said the levels all looked great at the one month blood test but,negative
KijonaiaArt,"@bunnieandbea See, Scott sleeps in so late no matter when he goes to bed, and he's SO hard to wake up. Is that a side effect of hypothyroidism maybe? Or his levothyroxine? I just thought about that. :O I should ask his doctor at the next appt.",Twitter Web Client,0,,bunnieandbea,Levothyroxine,Cancer,see scott sleeps in so late no matter when he goes to bed and he so hard to wake up is that side effect of hypothyroidism maybe or his levothyroxine just thought about that should ask his doctor at the next appt,negative
Winsome_Wench,@Cimbrella Itâ€™s not pleasant. I was having sweats. Iâ€™m on levothyroxine for life now. Itâ€™s sorted it out nicely xx,Twitter for iPhone,0,,Cimbrella,Levothyroxine,Cancer,it not pleasant was having sweats on levothyroxine for life now it sorted it out nicely xx,negative
PikachenGoGo,"My thyroid hormones are so confused that my doctor has me on 50mcg #Levothyroxine, 6000mg Vitamin D-3, and now Ortho Tri-Cyclen all to help manage my Hypothyroid and #Hypovitaminosis D, and other hormone issues. I hope it helps! #spoonie #Spoonies #hashimotos https://t.co/w1kQ2azPPR",Twitter Lite,0,Levothyroxine Hypovitaminosis spoonie Spoonies hashimotos,,Levothyroxine,Cancer,my thyroid hormones are so confused that my doctor has me on mcg levothyroxine mg vitamin and now ortho tri cyclen all to help manage my hypothyroid and hypovitaminosis and other hormone issues hope it helps spoonie spoonies hashimotos,neutral
Mr_cayleb,"RT @PharmaFactz: Oral iron salts reduce absorption of other drugs - such as bisphosphonates and levothyroxine. Adequate time should elapse,â€¦",Twitter for Android,12,,PharmaFactz,Levothyroxine,Cancer,oral iron salts reduce absorption of other drugs such as bisphosphonates and levothyroxine adequate time should elapse,negative
so_delores,Sowhatdoyousay as bought just levothyroxine and I have me yes bobby pins and needles to say that you ldon only one that is the best of my...,Cloudhopper,0,,,Levothyroxine,Cancer,sowhatdoyousay as bought just levothyroxine and have me yes bobby pins and needles to say that you ldon only one that is the best of my,neutral
DrAnneMurphy,"RT @Azeem_Majeed: Most commonly dispensed in the community in England in 2017: 
1. Atorvastatin 2. Levothyroxine 3. Omeprazole 4. Ramiprilâ€¦",Twitter Lite,19,,Azeem_Majeed,Levothyroxine,Cancer,most commonly dispensed in the community in england in atorvastatin levothyroxine omeprazole ramipril,neutral
PokrajacAna,@tottyscone_one @thyroiduk_org @Soc_Endo @in @sball_endo @DrBaldeweg @hormone_doc @cehigham @hormonesdoctor @dr_kevinlee @AbdTahrani @simonhspearce @Novomix30 @campaign_itt Thyroxine has been off patent for a long time so no company has financial insentiv,Twitter for iPhone,0,,tottyscone_one thyroiduk_org Soc_Endo in sball_endo DrBaldeweg hormone_doc cehigham hormonesdoctor dr_kevinlee AbdTahrani simonhspearce Novomix30 campaign_itt,Levothyroxine,Cancer,thyroxine has been off patent for long time so no company has financial insentiv,neutral
shellztastic,"@allgrovb Thanks! <U+2764><U+FE0F> Iâ€™m pretty educated at this point haha. There are several foods thought to decrease the efficacy of levothyroxine FYI and interfere w thyroid functioning, particularly soy, walnuts, cruciferous veg, fiber, etc.If you c",Twitter for iPhone,0,,allgrovb,Levothyroxine,Cancer,thanks fe pretty educated at this point haha there are several foods thought to decrease the efficacy of levothyroxine fyi and interfere thyroid functioning particularly soy walnuts cruciferous veg fiber etc if you,neutral
PharmaFactz,"Oral iron salts reduce absorption of other drugs - such as bisphosphonates and levothyroxine. Adequate time should elapse, at least two hours, before iron salts are taken.",Twitter for Android,12,,,Levothyroxine,Cancer,oral iron salts reduce absorption of other drugs such as bisphosphonates and levothyroxine adequate time should elapse at least two hours before iron salts are taken,negative
arden_azim,@jddneary @JProfetto @Cath_Friedman @jassy_liu @SonjaWakeling @alysetalia IV levothyroxine versus warm blankets for medical students on call: a randomized non-inferiority trial.,Twitter for iPhone,0,,jddneary JProfetto Cath_Friedman jassy_liu SonjaWakeling alysetalia,Levothyroxine,Cancer,iv levothyroxine versus warm blankets for medical students on call randomized non inferiority trial,neutral
MurtadMilli,"@Gene_Starwind They just raised the price of levothyroxine on me too. The name brand synthroid works best but I have to pay hundreds a month for it if I want it over generic so I only get it during times of fat, and we have a lot more lean times than fat.",Twitter for Android,0,,Gene_Starwind,Levothyroxine,Cancer,they just raised the price of levothyroxine on me too the name brand synthroid works best but have to pay hundreds month for it if want it over generic so only get it during times of fat and we have lot more lean times than fat,neutral
IamCarrieagain,@ZolaRabbitsoup Thanks. Anxiety is making things so much harder. Lack of get up and go though could be down to my thyroid - Dr called earlier and said my levothyroxine needs increasing <f0><U+009F><U+0099><U+0084>,Twitter for Android,0,,ZolaRabbitsoup,Levothyroxine,Cancer,thanks anxiety is making things so much harder lack of get up and go though could be down to my thyroid dr called earlier and said my levothyroxine needs increasing,positive
MarkLakshmanan,Levothyroxine may increase mortality in older patients https://t.co/erEGdVl3wv,Twitter Web Client,0,,,Levothyroxine,Cancer,levothyroxine may increase mortality in older patients,positive
Drlipid,Be careful with the levothyroxine in the baby boomer generation   https://t.co/V0cVIAyNYk @TrueHealthDiag @nationallipid,Hootsuite,0,,TrueHealthDiag nationallipid,Levothyroxine,Cancer,be careful with the levothyroxine in the baby boomer generation,negative
IamCarrieagain,GP has called. My levothyroxine needs increasing a little. Underactive thyroid again could be contributing to weight gain.,Twitter for Android,0,,,Levothyroxine,Cancer,gp has called my levothyroxine needs increasing little underactive thyroid again could be contributing to weight gain,positive
SuomalainenSK,RT @HoltorfMed: What #thyroid #medication works best for you? Find out why #levothyroxine doesn't work for most people: https://t.co/aOvCO5â€¦,Twitter for Android,10,thyroid medication levothyroxine,HoltorfMed,Levothyroxine,Cancer,what thyroid medication works best for you find out why levothyroxine doesn work for most people,negative
wiece,RT @sball_endo: No Benefit of Levothyroxine Among Pregnant Hypothyroid and/or Hypothyroxinemic Women on Offspring IQ at Age 9 years | Cliniâ€¦,Twitter for iPhone,12,,sball_endo,Levothyroxine,Cancer,no benefit of levothyroxine among pregnant hypothyroid and or hypothyroxinemic women on offspring iq at age years clini,negative
dbwresearch,"The question might be extended to 'mood changing' drugs, whether legal medications or illegal, even if it is only one contingent effect. Levothyroxine for instance raises mood, speeds metabolism. Correlates need be checked.",Twitter Web Client,0,,,Levothyroxine,Cancer,the question might be extended to mood changing drugs whether legal medications or illegal even if it is only one contingent effect levothyroxine for instance raises mood speeds metabolism correlates need be checked,negative
bea_m_sassafras,3 days with NO levothyroxine and feeling like a bit less of a twitch today. Namaste! #hypothyroidism #autoimmunitysucks,Twitter for Android,0,hypothyroidism autoimmunitysucks,,Levothyroxine,Cancer,days with no levothyroxine and feeling like bit less of twitch today namaste hypothyroidism autoimmunitysucks,positive
Susannaamala5,RT @TiredThyroid: Is #desiccated #thyroid or #levothyroxine (T4) better for #hypothyroid patients?  https://t.co/v0q9rKI1CZ https://t.co/0Oâ€¦,Twitter for Android,2,desiccated thyroid levothyroxine hypothyroid,TiredThyroid,Levothyroxine,Cancer,is desiccated thyroid or levothyroxine better for hypothyroid patients,neutral
huisdoktertim,"@medicalaxioms @DavidJuurlink netherlands: small spectrum penicillines, lorazepam, levothyroxine, lidocaine/adrenalin",Twitter for iPad,0,,medicalaxioms DavidJuurlink,Levothyroxine,Cancer,netherlands small spectrum penicillines lorazepam levothyroxine lidocaine adrenalin,neutral
DeSalaberry,"Celgene hunts deals to offset loss of Revlimid patent protection via @FT https://t.co/oWM0mQMeE5
https://t.co/gyvTGBw8EK",Buffer,0,,FT,revlimid,Cancer,celgene hunts deals to offset loss of revlimid patent protection via,neutral
Law360,RT @danikass360: Celgene Sues To Block Dr. Reddy's Revlimid Generic https://t.co/Qms6WJ8Qdx,Hootsuite,1,,danikass360,revlimid,Cancer,celgene sues to block dr reddy revlimid generic,neutral
Slambucket,"@dhovekamp42 @topgun6770 Have they launched the Ph1 MDS trial yet? My fellow MM friend recently developed a secondary of MDS due to extended use of Dex and Revlimid. I think the Melphalan also played a roll.  Anyway, MDS is one reason I have stayed with $",Twitter for iPad,0,,dhovekamp42 topgun6770,revlimid,Cancer,have they launched the ph mds trial yet my fellow mm friend recently developed secondary of mds due to extended use of dex and revlimid think the melphalan also played roll anyway mds is one reason have stayed with,neutral
SusanZGriffith,"RT @psicro: Median survival was longer in patients who had received only one prior therapy, at about 35.5 months. For those who had alreadyâ€¦",Twitter for iPhone,3,,psicro,revlimid,Cancer,median survival was longer in patients who had received only one prior therapy at about months for those who had already,neutral
LacertaBio,"@karlschmieder Xarelto, Eliquis, and Revlimid are also small molecules. Your point is still valid.",Hootsuite,0,,karlschmieder,revlimid,Cancer,xarelto eliquis and revlimid are also small molecules your point is still valid,negative
Brian4NJ,"@maryann_penza @jfabrazzosr @MagaApplePie @NJ_Optimist Here's 4 articles you should read before you decide #SilentBob has any chance against #HudsonBob:
1. Thalidomide https://t.co/k1fBO3E2se

2. Price Gauging https://t.co/5OimdF4AYG

3. Opioid ",Twitter Web Client,0,SilentBob HudsonBob,maryann_penza jfabrazzosr MagaApplePie NJ_Optimist,revlimid,Cancer,here articles you should read before you decide silentbob has any chance against hudsonbob thalidomide price gauging opioid crisi,neutral
oncologytube,ADD - Should the cost of Revlimid (lenalidomide) be reduced? https://t.co/q0CjQacA9P https://t.co/R1LrJoJNS3,OncologyTube Tweets,0,,,revlimid,Cancer,add should the cost of revlimid lenalidomide be reduced,neutral
tgtxdough,"RBC $CELG investors believe CELG is likely settle any outstanding generic Revlimid lawsuits with Dr. Reddyâ€™s and/or other generic ANDA filers in 2018, believe potential development important step in shoring up out-year revenue certainty potentially spurring a sentiment turnaround",Twitter for iPhone,0,,,revlimid,Cancer,rbc celg investors believe celg is likely settle any outstanding generic revlimid lawsuits with dr reddy and or other generic anda filers in believe potential development important step in shoring up out year revenue certainty potentially spurring sentiment turnaround,neutral
bionewsservices,"Myeloma Patients Refractory to Revlimid May Benefit from Ninlaro, Pomalyst, DexamethasoneÂ Combo https://t.co/DIy6iCWMKL https://t.co/v14i2ExOpU",WordPress.com,0,,,revlimid,Cancer,myeloma patients refractory to revlimid may benefit from ninlaro pomalyst dexamethasone combo,neutral
bionewsservices,"Revlimid, Dexamethasone Combo Shows Benefits for Multiple Myeloma in Real-worldÂ Study https://t.co/ypfKfCkajF https://t.co/JZMJfUqsaS",WordPress.com,0,,,revlimid,Cancer,revlimid dexamethasone combo shows benefits for multiple myeloma in real world study,positive
psicro,"Median survival was longer in patients who had received only one prior therapy, at about 35.5 months. For those who had already received two or more prior therapies, the median overall survival was 21.1 months. https://t.co/vakGwj2aEH",CoSchedule,3,,,revlimid,Cancer,median survival was longer in patients who had received only one prior therapy at about months for those who had already received two or more prior therapies the median overall survival was months,neutral
insurewithmercy,"<f0><U+009F><U+0093><U+00B7> The Monthly Cost of Cancer Drugs Per Treatment: Revlimid $18,981 for 28 capsules-10mg Pomalyst... https://t.co/khsgzHJgWg",Tumblr,0,,,revlimid,Cancer,the monthly cost of cancer drugs per treatment revlimid for capsules mg pomalyst,neutral
AMEGI_MX,Celgene hunts deals to offset loss of Revlimid patent protection. https://t.co/7XPZ2qqmKp,Twitter for Android,0,,,revlimid,Cancer,celgene hunts deals to offset loss of revlimid patent protection,neutral
ONKOSconsulting,"RT @FierceBiotech: According to people â€œbriefed on its plansâ€?, and talking to FT journos, Celgene is â€œhunting for acquisition targets withâ€¦",Twitter for Android,2,,FierceBiotech,revlimid,Cancer,according to people briefed on its plans and talking to ft journos celgene is hunting for acquisition targets with,neutral
kuritzmike,"RT @BioStocks: $CELG hunts deals to offset loss of Revlimid patent protection. M&amp;A targets may include $AGIO $JNCE. 
https://t.co/aFWIVMrmlK",Twitter for Android,2,,BioStocks,revlimid,Cancer,celg hunts deals to offset loss of revlimid patent protection amp targets may include agio jnce,neutral
kjilly,"@Celgene on #biotech hunt with @AgiosPharma, #Jounce in crosshairs: FT #biotechnology #pharma #biopharma #IO #immunooncology #biotechdeals #Revlimid $CELG $AGIO $JNCE https://t.co/XhiPP1V5BG",Twitter Web Client,0,biotech Jounce biotechnology pharma biopharma IO immunooncology biotechdeals Revlimid,Celgene AgiosPharma,revlimid,Cancer,on biotech hunt with jounce in crosshairs ft biotechnology pharma biopharma io immunooncology biotechdeals revlimid celg agio jnce,neutral
CMLviz,"RT @OphirGottlieb: Celgene hunts deals to offset loss of Revlimid patent protection https://t.co/OEvK3nT6w7
-
$CELG",Capital Market Labs,1,,OphirGottlieb,revlimid,Cancer,celgene hunts deals to offset loss of revlimid patent protection celg,neutral
MoHossain,"RT @fr_hossain: Celgene hunts deals to offset loss of Revlimid patent protection

Cancer treatment behind 63% of revenue could face competiâ€¦",Twitter Web Client,2,,fr_hossain,revlimid,Cancer,celgene hunts deals to offset loss of revlimid patent protection cancer treatment behind of revenue could face competi,neutral
tradnews_,"RT @OpenOutcrier: $CELG Celgene hunts deals to offset loss of Revlimid patent protection - FT

$AGIO (+5% pre)
$JNCE (+5% pre)

https://t.câ€¦",ytbrvefcz,1,,OpenOutcrier,revlimid,Cancer,celg celgene hunts deals to offset loss of revlimid patent protection ft agio pre jnce pre,neutral
raleon23,"Celgene hunts deals to offset loss of Revlimid patent protection: 

Potential targets include Agios Pharma (IDH inhibitors for AML) and Jounce Thx (novel immunotherapies) $CELG $AGIO $JNCE h/t @FinancialTimes",Twitter Web Client,0,,FinancialTimes,revlimid,Cancer,celgene hunts deals to offset loss of revlimid patent protection potential targets include agios pharma idh inhibitors for aml and jounce thx novel immunotherapies celg agio jnce,neutral
foabook,"RT @wf00757575: @FierceBiotech ""Once the drug gets approved we will be using this upfront. it's not like we happily use lenalidomide (revliâ€¦",Twitter for iPhone,1,,wf00757575 FierceBiotech,revlimid,Cancer,once the drug gets approved we will be using this upfront it not like we happily use lenalidomide revli,positive
1971AlienHuman,"RT @bydavidcrow: Celgene hunting for deals to offset loss of Revlimid patents, weighing offers for Agios and Jounce, per advisers (with @JFâ€¦",Twitter for Android,31,,bydavidcrow,revlimid,Cancer,celgene hunting for deals to offset loss of revlimid patents weighing offers for agios and jounce per advisers with,positive
wf00757575,"@FierceBiotech ""Once the drug gets approved we will be using this upfront. it's not like we happily use lenalidomide (revlimid)"" Dr. Azra Raza, 
Professor of Medicine - Director, MDS Center Columbia University - Which drug is she talking about? $GERN im",TweetDeck,1,,FierceBiotech,revlimid,Cancer,once the drug gets approved we will be using this upfront it not like we happily use lenalidomide revlimid dr azra raza professor of medicine director mds center columbia university which drug is she talking about gern ime,neutral
